metric,n_pairs,stability_r,passes_0_40,passes_0_70,category,abbrev,label
Def_Pen_Touches,114,0.9203900809481715,TRUE,TRUE,Defending,DEFPE,Def Pen Touches
PrgC_Progression,117,0.8909709263444903,TRUE,TRUE,Passing,PRGC,PrgC Progression
PrgDist_Total,117,0.8654769601282412,TRUE,TRUE,Passing,PRGDI,PrgDist Total
Att_Long,117,0.8510437773407051,TRUE,TRUE,Other,ATTLO,Att Long
xG_Per,117,0.8491054117658338,TRUE,TRUE,Attacking,XG,xG Per
PrgR_Progression,117,0.8428366045115925,TRUE,TRUE,Passing,PRGR,PrgR Progression
Sh_per_90_Standard,117,0.8362208966093074,TRUE,TRUE,Attacking,SHPER,Sh/90 Standard
xG_plus_xAG_Per,117,0.8329810302911707,TRUE,TRUE,Passing,XGPLU,xG+xAG Per
npxG_Per,117,0.8306720400855391,TRUE,TRUE,Attacking,NPXG,npxG Per
npxG_plus_xAG_Per,117,0.8207780981777285,TRUE,TRUE,Passing,NPXGP,npxG+xAG Per
Cmp_Long,117,0.8115729371675336,TRUE,TRUE,Passing,CMPLO,Cmp Long
TotDist_Total,117,0.7968165151112665,TRUE,TRUE,Passing,TOTDI,TotDist Total
Def_3rd_Touches,114,0.7952269351109217,TRUE,TRUE,Defending,DEF3R,Def 3rd Touches
SoT_per_90_Standard,117,0.7902641458159981,TRUE,TRUE,Attacking,SOTPE,SoT/90 Standard
Att_Medium,117,0.7898551395815737,TRUE,TRUE,Other,ATTME,Att Medium
Cmp_Medium,117,0.7819141384123683,TRUE,TRUE,Passing,CMPME,Cmp Medium
Att_Total,117,0.7730412368661768,TRUE,TRUE,Other,ATT,Att Total
PrgR_Receiving,114,0.7686335740931716,TRUE,TRUE,Carrying,PRGRR,PrgR Receiving
PrgC_Carries,114,0.7591528919477089,TRUE,TRUE,Carrying,PRGC,PrgC Carries
KP,117,0.7563734093032212,TRUE,TRUE,Passing,KP,KP
Cmp_Total,117,0.7523509405451273,TRUE,TRUE,Passing,CMP,Cmp Total
Att_Pen_Touches,114,0.737825850439776,TRUE,TRUE,Carrying,ATTPE,Att Pen Touches
Att_3rd_Touches,114,0.7330590082384467,TRUE,TRUE,Carrying,ATT3R,Att 3rd Touches
Clr,114,0.722979638015747,TRUE,TRUE,Defending,CLR,Clr
G_plus_A_Per,117,0.7197793033166968,TRUE,TRUE,Other,GPLUS,G+A Per
Gls_Per,117,0.7154879870257224,TRUE,TRUE,Attacking,GLS,Gls Per
Gls_Standard,117,0.7138567519817798,TRUE,TRUE,Attacking,GLS,Gls Standard
G_plus_A_minus_PK_Per,117,0.713362056980661,TRUE,TRUE,Attacking,GPLUS,G+A minus PK Per
CPA_Carries,114,0.712463895178686,TRUE,TRUE,Carrying,CPA,CPA Carries
Succ_Take,114,0.7123228935188671,TRUE,TRUE,Carrying,SUCC,Succ Take
Tkld_Take,114,0.708581121168504,TRUE,TRUE,Defending,TKLD,Tkld Take
Won_Aerial,114,0.7085064409372664,TRUE,TRUE,Defending,WON,Won Aerial
PPA,117,0.7060953390514679,TRUE,TRUE,Other,PPA,PPA
G_minus_PK_Per,117,0.705698467823067,TRUE,TRUE,Attacking,GMINU,G minus PK Per
Att_Take,114,0.7016983578178837,TRUE,TRUE,Carrying,ATT,Att Take
Final_Third,117,0.6977142128644888,TRUE,FALSE,Passing,FINAL,Final Third
Att_Short,117,0.6945489407818434,TRUE,FALSE,Attacking,ATTSH,Att Short
Sh_Blocks,114,0.6899696107048577,TRUE,FALSE,Defending,SH,Sh Blocks
Cmp_percent_Medium,117,0.6882037181334515,TRUE,FALSE,Passing,CMPPE,Cmp percent Medium
Cmp_Short,117,0.6858847695946675,TRUE,FALSE,Passing,CMPSH,Cmp Short
Mis_Carries,114,0.6751170792150991,TRUE,FALSE,Carrying,MIS,Mis Carries
PrgP_Progression,117,0.6720537916175776,TRUE,FALSE,Passing,PRGP,PrgP Progression
Final_Third_Carries,114,0.6643778571893095,TRUE,FALSE,Passing,FINAL,Final Third Carries
CrsPA,117,0.6616599685054828,TRUE,FALSE,Passing,CRSPA,CrsPA
Prog,56,0.6574237979647537,TRUE,FALSE,Passing,PROG,Prog
Int,114,0.6477070690736921,TRUE,FALSE,Defending,INT,Int
Lost_Aerial,114,0.6444567426915797,TRUE,FALSE,Defending,LOST,Lost Aerial
xAG_Per,117,0.6400649640910793,TRUE,FALSE,Passing,XAG,xAG Per
Cmp_percent_Total,117,0.6396797585671053,TRUE,FALSE,Passing,CMPPE,Cmp percent Total
Crs,114,0.6376667445960891,TRUE,FALSE,Passing,CRS,Crs
xA,77,0.632509883154462,TRUE,FALSE,Passing,XA,xA
Cmp_percent_Short,117,0.6315809012961826,TRUE,FALSE,Passing,CMPPE,Cmp percent Short
Off,114,0.6304695873252608,TRUE,FALSE,Other,OFF,Off
Dis_Carries,114,0.6021335628588566,TRUE,FALSE,Carrying,DIS,Dis Carries
Fld,114,0.5924114037496104,TRUE,FALSE,Other,FLD,Fld
Tkl_plus_Int,114,0.5830527518822659,TRUE,FALSE,Defending,TKLPL,Tkl+Int
Won_percent_Aerial,114,0.5674476520354984,TRUE,FALSE,Defending,WONPE,Won percent Aerial
Def_3rd_Tackles,114,0.5430920226342014,TRUE,FALSE,Defending,DEF3R,Def 3rd Tackles
PrgP,34,0.5396017786986773,TRUE,FALSE,Passing,PRGP,PrgP
Tkl_percent_Challenges,110,0.5112610675686639,TRUE,FALSE,Defending,TKLPE,Tkl percent Challenges
Recov,114,0.5030961964158542,TRUE,FALSE,Defending,RECOV,Recov
Mid_3rd_Touches,114,0.4973377608910438,TRUE,FALSE,Carrying,MID3R,Mid 3rd Touches
npxG_per_Sh_Expected,113,0.4762631110837098,TRUE,FALSE,Attacking,NPXGP,npxG/Sh Expected
TklW_Tackles,114,0.44975003522072465,TRUE,FALSE,Defending,TKLW,TklW Tackles
TklW,114,0.44975003522072465,TRUE,FALSE,Defending,TKLW,TklW
PrgDist_Carries,114,0.4430182912852636,TRUE,FALSE,Carrying,PRGDI,PrgDist Carries
Cmp_percent_Long,117,0.42156300064300156,TRUE,FALSE,Passing,CMPPE,Cmp percent Long
Tkl_Tackles,114,0.42105266114605594,TRUE,FALSE,Defending,TKL,Tkl Tackles
FK_Standard,117,0.4066541523773538,TRUE,FALSE,Other,FK,FK Standard
Live_Touches,114,0.4022106418172138,TRUE,FALSE,Carrying,LIVE,Live Touches
Touches_Touches,114,0.4016828543026718,TRUE,FALSE,Carrying,TOUCH,Touches Touches
PKatt,117,0.3993680576628769,FALSE,FALSE,Attacking,PKATT,PKatt
PKatt_Standard,117,0.3993680576628769,FALSE,FALSE,Attacking,PKATT,PKatt Standard
Ast_Per,117,0.3986045278307296,FALSE,FALSE,Attacking,AST,Ast Per
TotDist_Carries,114,0.3811657512630689,FALSE,FALSE,Carrying,TOTDI,TotDist Carries
Rec_Receiving,114,0.37484865346377716,FALSE,FALSE,Other,RECRE,Rec Receiving
Succ_percent_Take,107,0.373180263208133,FALSE,FALSE,Carrying,SUCCP,Succ percent Take
SoT_percent_Standard,113,0.3687162037707256,FALSE,FALSE,Attacking,SOTPE,SoT percent Standard
PK,117,0.3658161062699175,FALSE,FALSE,Attacking,PK,PK
PK_Standard,117,0.3658161062699175,FALSE,FALSE,Attacking,PK,PK Standard
Carries_Carries,114,0.36466059285471786,FALSE,FALSE,Carrying,CARRI,Carries Carries
Fls,114,0.36413283387142475,FALSE,FALSE,Defending,FLS,Fls
Tkl_Challenges,114,0.3544150087722378,FALSE,FALSE,Defending,TKL,Tkl Challenges
Lost_Challenges,114,0.3460280271489764,FALSE,FALSE,Defending,LOST,Lost Challenges
Pass_Blocks,114,0.32880497158754507,FALSE,FALSE,Defending,PASS,Pass Blocks
Tkld_percent_Take,107,0.32523976309187363,FALSE,FALSE,Defending,TKLDP,Tkld percent Take
CrdY,117,0.31668846540064866,FALSE,FALSE,Other,CRDY,CrdY
Att_Challenges,114,0.31251011228412406,FALSE,FALSE,Defending,ATT,Att Challenges
Blocks_Blocks,114,0.29571549053503654,FALSE,FALSE,Defending,BLOCK,Blocks Blocks
Mid_3rd_Tackles,114,0.27862982260685004,FALSE,FALSE,Passing,MID3R,Mid 3rd Tackles
Dist_Standard,113,0.27110686003640094,FALSE,FALSE,Carrying,DIST,Dist Standard
G_per_Sh_Standard,113,0.22471023527985384,FALSE,FALSE,Attacking,GPERS,G/Sh Standard
G_per_SoT_Standard,98,0.2036108108129733,FALSE,FALSE,Attacking,GPERS,G/SoT Standard
Att_3rd_Tackles,114,0.18081120343999532,FALSE,FALSE,Passing,ATT3R,Att 3rd Tackles
Err,114,0.10215704890711955,FALSE,FALSE,Defending,ERR,Err
PKwon,114,0.09293464567821917,FALSE,FALSE,Attacking,PKWON,PKwon
G_minus_xG_Expected,117,0.07592099134591128,FALSE,FALSE,Attacking,GMINU,G minus xG Expected
np:G_minus_xG_Expected,117,0.06934509979623858,FALSE,FALSE,Attacking,NP:GM,np:G minus xG Expected
PKcon,114,0.06416404105538505,FALSE,FALSE,Attacking,PKCON,PKcon
2CrdY,114,0.034366693395283004,FALSE,FALSE,Other,2CRDY,2CrdY
A_minus_xA,56,0.018558950049553005,FALSE,FALSE,Passing,AMINU,A minus xA
OG,114,-0.054328720804580795,FALSE,FALSE,Other,OG,OG
CrdR,117,-0.06680889622334409,FALSE,FALSE,Other,CRDR,CrdR
